model,train_domain,ood_f1_mean,ood_f1_std,balans,rozmiar
SVM,imdb,0.7670816259395604,0.10356238032926773,zbalansowana,50000
SVM,rotten,0.7229637878390534,0.11174052711170607,zbalansowana,50000
SVM,amazon,0.6951671104441043,0.16221947769208347,niezbalansowana,21055
SVM,yelp,0.7333726423745461,0.04001257435810708,niezbalansowana,10000
LSTM,imdb,0.7239982524915054,0.1086422572661842,zbalansowana,50000
LSTM,rotten,0.6490575573903127,0.09471496680296611,zbalansowana,50000
LSTM,amazon,0.6618683746433035,0.15239517894675716,niezbalansowana,21055
LSTM,yelp,0.6946420112585978,0.032410719483446995,niezbalansowana,10000
MiniLM,imdb,0.7454906105429259,0.13870272356613517,zbalansowana,50000
MiniLM,rotten,0.7510123373624682,0.10008645627933409,zbalansowana,50000
MiniLM,amazon,0.7775354079445523,0.10416664774189618,niezbalansowana,21055
MiniLM,yelp,0.6855423596308818,0.026808789951141686,niezbalansowana,10000
DistilBERT,imdb,0.8097411181961418,0.042720207786709284,zbalansowana,50000
DistilBERT,rotten,0.7875983260340204,0.0622296676419813,zbalansowana,50000
DistilBERT,amazon,0.7707640745227639,0.10537010684078549,niezbalansowana,21055
DistilBERT,yelp,0.7649718520745991,0.03216990636630823,niezbalansowana,10000
