train_domain,fold,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1
imdb,1,0.82805,0.82805,0.8260286225402504,0.83115,0.8285813976672316,0.8262,0.8262,0.8215694006309149,0.8334,0.8274424146147736
imdb,2,0.8271,0.8271,0.8247939628636679,0.83065,0.8277116237357381,0.825,0.825,0.8281502423263328,0.8202,0.8241559485530546
imdb,3,0.82885,0.8288500000000001,0.8277356986246761,0.83055,0.8291404612159329,0.8232,0.8231999999999999,0.8202536662703132,0.8278,0.8240095560422058
imdb,4,0.8287,0.8287,0.8267395626242545,0.8317,0.8292123629112662,0.825,0.825,0.8228049264998013,0.8284,0.8255929838548933
imdb,5,0.827625,0.827625,0.8255900621118012,0.83075,0.8281619937694704,0.8234,0.8234,0.8219832735961768,0.8256,0.8237876671323089
rotten,1,0.7428935723393085,0.7428936559327967,0.744538407329105,0.73955,0.7420358199969899,0.7368,0.7368,0.7389023405972559,0.7324,0.7356368019284854
rotten,2,0.7446936173404335,0.7446937109355467,0.7465491183879093,0.74095,0.7437390213299875,0.7264,0.7263999999999999,0.7278582930756844,0.7232,0.7255216693418941
rotten,3,0.7445436135903397,0.7445436771838592,0.7458035983515932,0.742,0.7438969371898341,0.7333,0.7333000000000001,0.7364686803162376,0.7266,0.7315010570824524
rotten,4,0.7397434935873397,0.7397435859292965,0.7415373765867419,0.73605,0.7387834989461006,0.7459,0.7459,0.7486349848331648,0.7404,0.7444947209653092
rotten,5,0.743225,0.743225,0.7447300900538311,0.74015,0.74243298141786,0.74007400740074,0.7400734546909382,0.7374876360039565,0.7456,0.7415216310293387
amazon,1,0.9081572073141772,0.902130703593709,0.8358261481611825,0.8855331841909023,0.8599619806282248,0.893849441937782,0.8897471074423112,0.8057455540355677,0.8784489187173751,0.8405280057081698
amazon,2,0.9050700546188554,0.8996672551816602,0.8287061288632792,0.8847874720357942,0.8558290505815526,0.9031109000237473,0.8955483322810218,0.8301486199575372,0.8747203579418344,0.8518518518518519
amazon,3,0.9047138446924721,0.8989589910280694,0.8288713910761155,0.8831096196868009,0.8551313295423775,0.8990738541914035,0.8925866598071541,0.8202797202797203,0.8747203579418344,0.8466257668711656
amazon,4,0.9084540489194965,0.9026464337030715,0.8358523725834798,0.8866517524235645,0.8605029853446716,0.8971740679173593,0.8903983713854396,0.8174825174825174,0.8717375093214019,0.8437387224828582
amazon,5,0.9054262645452387,0.899928579223472,0.8295752490823283,0.8847874720357942,0.8562922868741543,0.9069104725718357,0.8997262690747714,0.8362863217576187,0.8799403430275914,0.8575581395348837
yelp,1,0.848125,0.8557670739695169,0.9693103448275862,0.8442709115482805,0.9024801348422827,0.8395,0.8499529380126395,0.9686192468619247,0.8342342342342343,0.8964181994191674
yelp,2,0.847125,0.8551663831751033,0.9692679558011049,0.8430695299594534,0.9017749578347121,0.8485,0.8493971583523823,0.9658002735978112,0.848048048048048,0.9031020147105853
yelp,3,0.854875,0.8657771313968559,0.9728242174062608,0.8493767833007959,0.9069189449210294,0.821,0.8293039307964681,0.9624911535739561,0.8168168168168168,0.8836907082521117
yelp,4,0.848625,0.8584495771927426,0.9706288873531445,0.843670220753867,0.9027074797139873,0.836,0.8287750437004169,0.9581905414667581,0.8396396396396396,0.8950064020486556
yelp,5,0.85025,0.8587938684953611,0.9703754736479504,0.845945945945946,0.9038986042034334,0.8385,0.8233745421245422,0.9545762711864407,0.8461538461538461,0.897100987575661
