train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
imdb,imdb,1,0.8883,0.8712947026200039,0.9112,0.8908006647766155,IND
imdb,rotten,1,0.7881757635152703,0.7452428770807094,0.87572,0.8052301524541626,OOD
imdb,amazon,1,0.8623604844454998,0.8110802418695865,0.7401938851603281,0.7740174672489083,OOD
imdb,yelp,1,0.832,0.9647453833240067,0.8284478616049976,0.8914167528438469,OOD
imdb,imdb,2,0.8845,0.9239250275633958,0.838,0.8788673308862087,IND
imdb,rotten,2,0.8022560451209024,0.799492687566882,0.80688,0.8031693575680356,OOD
imdb,amazon,2,0.864687722631204,0.9193127446715963,0.6304250559284116,0.7479430239759356,OOD
imdb,yelp,2,0.7382,0.9845448369565217,0.696419990389236,0.8157894736842105,OOD
imdb,imdb,3,0.8856,0.8926680244399186,0.8766,0.884561049445005,IND
imdb,rotten,3,0.8002360047200944,0.784361266858615,0.82816,0.8056658105689158,OOD
imdb,amazon,3,0.8600332462597958,0.8273519163763067,0.7082774049217002,0.7631980715146646,OOD
imdb,yelp,3,0.8015,0.9722843093428699,0.7838779432964921,0.867974725640173,OOD
imdb,imdb,4,0.8864,0.868421052631579,0.9108,0.8891058180398282,IND
imdb,rotten,4,0.7836556731134623,0.7438869209340716,0.8652,0.7999704125598683,OOD
imdb,amazon,4,0.8608881500831157,0.8114483668756186,0.7336316181953766,0.7705804026004544,OOD
imdb,yelp,4,0.8237,0.9689778413152251,0.8142719846227775,0.8849141588876559,OOD
imdb,imdb,5,0.8835,0.9191256830601093,0.841,0.8783289817232376,IND
imdb,rotten,5,0.7961159223184464,0.7918473547267997,0.80344,0.7976015566056467,OOD
imdb,amazon,5,0.8809783899311328,0.8978586317983703,0.7066368381804623,0.7908529460857954,OOD
imdb,yelp,5,0.7524,0.9829864552362074,0.7149207111965401,0.8277924607038532,OOD
rotten,rotten,1,0.8469,0.8569664540028813,0.8328,0.8447104168779795,IND
rotten,imdb,1,0.81498,0.8920587503111775,0.71668,0.7948098037041145,OOD
rotten,amazon,1,0.8532890049869389,0.9365041042974408,0.5785234899328859,0.7152207983774316,OOD
rotten,yelp,1,0.7442,0.9755856153084791,0.7104757328207593,0.8221882385652718,OOD
rotten,rotten,2,0.8375,0.8224727689661762,0.8608,0.8412000390892211,IND
rotten,imdb,2,0.8352,0.8803558460421206,0.77584,0.8248001360775642,OOD
rotten,amazon,2,0.857421040132985,0.9349307023725628,0.5935868754660701,0.7261448640758985,OOD
rotten,yelp,2,0.7669,0.9721128092011975,0.741230177799135,0.8411151250766818,OOD
rotten,rotten,3,0.8488,0.8688663282571912,0.8216,0.8445723684210527,IND
rotten,imdb,3,0.81596,0.9091474153113022,0.70208,0.792308039543177,OOD
rotten,amazon,3,0.8334362384231774,0.9484015703869882,0.5043997017151379,0.6585532080615325,OOD
rotten,yelp,3,0.6895,0.9820801773508221,0.6386352715040846,0.7739681153090194,OOD
rotten,rotten,4,0.8503,0.8526273404469499,0.847,0.849804354369419,IND
rotten,imdb,4,0.8365,0.8808801557477249,0.77824,0.8263852018603861,OOD
rotten,amazon,4,0.8567086202802184,0.9398854961832062,0.5876211782252051,0.723134807745251,OOD
rotten,yelp,4,0.7971,0.9723848116464056,0.7783517539644401,0.864616000533796,OOD
rotten,rotten,5,0.8423842384238424,0.8392786365437971,0.847,0.843121640453912,IND
rotten,imdb,5,0.82786,0.8571615320929017,0.78684,0.8204967778264406,OOD
rotten,amazon,5,0.8614580859653289,0.884022708840227,0.6502609992542878,0.7493340207957377,OOD
rotten,yelp,5,0.8168,0.9599036554264664,0.8139115809706872,0.8808997529580028,OOD
amazon,amazon,1,0.9301828544288767,0.9048723897911833,0.87248322147651,0.8883826879271071,IND
amazon,imdb,1,0.7091,0.8074457448685526,0.54916,0.6537152108182749,OOD
amazon,rotten,1,0.6682733654673093,0.6665347161744913,0.67352,0.6700091520432931,OOD
amazon,yelp,1,0.8446,0.9293505834601725,0.88022585295531,0.9041214215202369,OOD
amazon,amazon,2,0.933032533839943,0.8942665673864483,0.8956002982848621,0.8949329359165424,IND
amazon,imdb,2,0.74474,0.7538480687051404,0.7268,0.740076981039855,OOD
amazon,rotten,2,0.6609132182643653,0.6227347611202636,0.81648,0.7065665132057184,OOD
amazon,yelp,2,0.8723,0.9216225918391767,0.9252763094666026,0.9234458365805407,OOD
amazon,amazon,3,0.9292329612918546,0.8654519971969166,0.9209545115585384,0.8923410404624278,IND
amazon,imdb,3,0.76084,0.7410720887245841,0.80184,0.7702593659942363,OOD
amazon,rotten,3,0.6527530550611013,0.6057953349216023,0.87472,0.7158335788405512,OOD
amazon,yelp,3,0.8829,0.9118019573978123,0.951345506967804,0.9311540948909401,OOD
