train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
imdb,imdb,1,0.8262,0.8215694006309149,0.8334,0.8274424146147736,IND
imdb,rotten,1,0.7070941418828377,0.6826085423059288,0.77416,0.7255074691207617,OOD
imdb,amazon,1,0.6161006886725243,0.449656583369867,0.9178225205070842,0.603599627286548,OOD
imdb,yelp,1,0.8639,0.9071453631154252,0.9318837097549255,0.9193481481481481,OOD
imdb,imdb,2,0.825,0.8281502423263328,0.8202,0.8241559485530546,IND
imdb,rotten,2,0.7083141662833257,0.6866666666666666,0.76632,0.7243100189035917,OOD
imdb,amazon,2,0.6124910947518404,0.443203125,0.8460850111856824,0.5816970007690336,OOD
imdb,yelp,2,0.8619,0.9075965715627569,0.9286400768861125,0.9179977436019239,OOD
imdb,imdb,3,0.8232,0.8202536662703132,0.8278,0.8240095560422058,IND
imdb,rotten,3,0.7058741174823496,0.6814624171484981,0.77316,0.7244209579491793,OOD
imdb,amazon,3,0.5745903585846592,0.4239805563056981,0.9366144668158091,0.5837244969094204,OOD
imdb,yelp,3,0.8637,0.9012103746397695,0.9392119173474291,0.9198188128713454,OOD
imdb,imdb,4,0.825,0.8228049264998013,0.8284,0.8255929838548933,IND
imdb,rotten,4,0.7057141142822857,0.6810150640574405,0.77396,0.7245188347187898,OOD
imdb,amazon,4,0.601329850391831,0.4402208536844341,0.9275167785234899,0.5970622119815668,OOD
imdb,yelp,4,0.8643,0.9016487951112648,0.9394521864488227,0.9201623815967523,OOD
imdb,imdb,5,0.8234,0.8219832735961768,0.8256,0.8237876671323089,IND
imdb,rotten,5,0.7065341306826136,0.6839967216619749,0.7678,0.7234796374121327,OOD
imdb,amazon,5,0.6073141771550701,0.44384565639146367,0.9212527964205817,0.5990689554844341,OOD
imdb,yelp,5,0.8615,0.9085128929706817,0.9269581931763575,0.9176428613902599,OOD
rotten,rotten,1,0.7368,0.7389023405972559,0.7324,0.7356368019284854,IND
rotten,imdb,1,0.78972,0.806958806577386,0.76164,0.7836447444234094,OOD
rotten,amazon,1,0.8097364046544764,0.8854612967723507,0.46234153616703955,0.6074857926709779,OOD
rotten,yelp,1,0.777,0.9570957095709571,0.7664584334454589,0.8512341561040694,OOD
rotten,rotten,2,0.7264,0.7278582930756844,0.7232,0.7255216693418941,IND
rotten,imdb,2,0.78832,0.8021208818844832,0.76548,0.783372221539973,OOD
rotten,amazon,2,0.8137734504868203,0.8862375138734739,0.47636092468307234,0.6196527306237268,OOD
rotten,yelp,2,0.777,0.9572328931572629,0.7663382988947621,0.8512143047771551,OOD
rotten,rotten,3,0.7333,0.7364686803162376,0.7266,0.7315010570824524,IND
rotten,imdb,3,0.78926,0.8083926819907032,0.75824,0.7825135709715371,OOD
rotten,amazon,3,0.815958204701971,0.8775346851654215,0.4905294556301268,0.6292930259255716,OOD
rotten,yelp,3,0.7756,0.9590758079130172,0.7629745314752523,0.8498594941790446,OOD
rotten,rotten,4,0.7459,0.7486349848331648,0.7404,0.7444947209653092,IND
rotten,imdb,4,0.7897,0.8099456498480764,0.75704,0.7825997064113962,OOD
rotten,amazon,4,0.8169080978389931,0.8953940066592675,0.48128262490678597,0.626054903482394,OOD
rotten,yelp,4,0.771,0.9599085365853659,0.7564872657376261,0.8461435098091911,OOD
